source_spanish,reference_english,seq2seq_beam_pred,seq2seq_greedy_pred,transformer_beam_pred,transformer_greedy_pred
eso es sentido común .,that s common sense .,that s absolutely unacceptable .,that s all his .,that s nonsense .,that s nonsense .
puedes hablar .,you may speak .,you can speak .,you can speak .,you can speak .,you can speak .
tom no dejó de fumar así que mary salió de la pieza .,tom didn t stop smoking so mary left the room .,tom doesn t give up so he left went out of the room .,tom doesn t care of that he left went out the room .,tom left mary s room so he wouldn t get out of the room .,tom didn t have left the room so he wouldn t leave .
recién acabo de terminar mi trabajo .,i have just finished my work .,although just just finished my job .,it just just finished my job job .,i just got back from my job .,i just got back from my job .
planeo comprar un auto nuevo tan pronto pueda costearme uno .,i plan to buy a new car as soon as i can afford one .,i plan to buy a new car as soon can improve .,i plan to buy a new car as soon as you can .,i plan to buy a new car .,i plan to buy a new car as soon as i can .
querer cosas nos hace más felices que realmente tenerlas .,wanting things makes us happier than actually having them .,i want things to more more than i d like to eat .,i want to explain more more than i d like to eat .,it makes us more than we really happy .,things makes they really happy that we really happy .
no sé qué haré .,i don t know what i ll do .,i don t know what i will .,i don t know what i will .,i don t know what i do .,i don t know what i do .
sin dinero él no podía hacer nada .,without money he could do nothing .,without reason he couldn t do anything .,without reason he couldn t do anything .,he couldn t do anything without money .,he couldn t do anything without money .
él me gusta .,i like him .,he like like him .,he like like him .,i like him .,i like him .
la ciudad estaba envuelta en niebla .,the city was wrapped in fog .,the city was enveloped in in .,the city was enveloped in a .,the city was in town .,the fog was in town .
¡ qué mala suerte tengo !,how unlucky i am !,what bad luck !,what bad luck !,what a bad shot !,what a bad lucky i have a bad luck !
debes ser cuidadoso de no hacerlo enfadar .,you must be careful not to make him angry .,you must be careful not to do that anymore .,you must be careful not to do that anymore .,you must not be convinced that .,you must not be convinced that .
el paciente está empeorando día a día .,the patient is getting worse and worse day by day .,the patient is getting worse day day day .,the patient is getting worse day day day .,the day is getting worse .,the day is getting worse .
él se baña todas las mañanas .,he has a bath every morning .,he takes a the every morning .,he takes a the every morning .,he takes a shower every morning .,he is having a cup of every morning .
ellos siguieron peleando contra los invasores año tras año .,they continued fighting against the invaders year after year .,they kept her against the the last year after year .,they kept her against the the last year after year .,they seem to understand all year .,they seem to understand the last year .
