source_spanish,reference_english,seq2seq_beam_pred,seq2seq_greedy_pred,transformer_beam_pred,transformer_greedy_pred
él no es un paciente sino médico en este hospital .,he is not a patient but a doctor in this hospital .,he is not a luxury but a in this this .,he isn t a good but in this this .,he is not a doctor but in this medicine .,he is not a doctor but in this medicine .
no creo que sea peligroso .,i don t think it s dangerous .,i don t think it s dangerous .,i don t think it s dangerous .,i don t think it s dangerous .,i don t think it s dangerous .
¿ cuál es tu equipo de fútbol favorito ?,what s your favorite soccer team ?,what s your favorite football team ?,what s your favorite football team ?,what s your favorite team ?,what s your favorite team ?
si estás a mi lado no necesito nada más .,if you are by my side i don t need anything else .,if you re my my i don t need anything .,if you re my my i don t need anything .,i don t need anything else if you re in my side .,i don t need anything else if you re in my side .
una bomba de tiempo estalló en el aeropuerto matando a trece personas .,a time bomb went off in the airport killing thirteen people .,a bomb of time the time the airport to to see people .,a of the time it in the airport to to to be thirteen .,the airport people in an hour .,the airport people in a year .
él construyó un robot .,he made a robot .,he built a a .,he built a a .,he built a piece of land .,he built a piece of his chest .
la reunión fue en resumen una pérdida de tiempo .,the meeting in short was a waste of time .,the meeting was been in a waste of time .,the meeting was been to a waste of time .,the meeting was a waste of time on her .,the meeting was a waste of time on her .
tom no se va a casar contigo .,tom isn t going to marry you .,tom isn t going to marry you .,tom isn t get to marry you .,tom won t be in with you .,tom won t be in with you .
ése es mío .,that s mine .,this is mine .,that s mine .,it s mine .,it s mine .
tenemos que estar en el trabajo a las nueve .,we have to be at work by nine .,we need to be in work at nine .,we have to be in work at nine .,we have to be late at work .,we have to be at the job .
fue un día realmente hermoso .,it was a really beautiful day .,it was a really beautiful day .,it was a really beautiful day .,it was a beautiful day .,it was a beautiful day .
el sol de la tarde llega directamente a mi pieza .,the afternoon sun comes directly into my room .,the s the second late for my room number .,the sun set the second week my room my room .,my room came near the sun .,my room came near the sun .
tom no estaba convencido de que fuera una buena idea .,tom wasn t convinced it was a good idea .,tom wasn t convinced of a good idea .,tom wasn t convinced that he was a good idea .,tom wasn t aware that he was a good idea .,tom wasn t that he was a good idea .
viajar en el tiempo es imposible .,time travel is impossible .,traveling on time is impossible .,traveling on time is impossible .,traveling is impossible .,traveling is impossible .
debo irme mañana por la mañana .,i must leave tomorrow morning .,i must go tomorrow tomorrow morning .,i must go tomorrow tomorrow morning .,i must go tomorrow afternoon .,i must go tomorrow afternoon .
fui despedido .,i was dismissed .,i was fired .,i went fired .,i went on you .,i went on you .
¿ lo hiciste tú solo ?,did you do this on your own ?,did you do you alone ?,did you do you alone ?,did you do it alone ?,did you do it alone ?
¿ qué planes tienes para la tarde ?,what do you have planned for the afternoon ?,what do you have for the afternoon ?,what do you have for the afternoon ?,what do you have plans for the afternoon ?,what are you ready for the afternoon ?
es para ti .,this is for you .,he is for you .,that s for you .,it s for you .,it s for you .
la risa es contagiosa .,laughter is infectious .,the is is a .,the is is a .,his tears is either .,the population is his .
mi auto necesita lavarse .,my car needs washing .,my car needs to be washed .,my car needs to be washed .,my car needs to be washed .,my car needs to get washed .
es mi mejor amigo .,he s my best friend .,it s my best friend .,it s my best friend .,my best friend is my best friend .,my best friend is my best friend .
él estaba en francia .,he was in france .,he was in france .,he was in france .,he was in france .,he was in france .
creo que deberíamos cambiar de tema .,i think we should move on to another topic .,i think we should try in subject .,i think we should try in subject .,i think we should change the subject .,i think we should change the subject .
quisiera ganar más dinero .,i d like to make more money .,i d like to more money .,i d like to more money .,i d like to win more money .,i d like to win more money .
sé que tom te extraña .,i know tom misses you .,i know tom misses you .,i know tom misses you .,i know tom misses you .,i know you re strange tom misses you .
no esperen demasiado de él .,don t expect too much of him .,i don t wait too him .,i don t need too him .,he doesn t get too much .,he doesn t get too much .
no voy a traicionarte .,i am not going to betray you .,i m not going to help you .,i m not going to help you .,i won t go back .,i won t come to his back .
este asunto no me importa .,this matter does not concern me .,this business doesn t matter me .,this matter doesn t matter to me .,this matter doesn t matter to me .,this matter doesn t matter .
puedes comprarlo por unos mil yenes .,you can buy it for a thousand yen or so .,you can buy a few by yourself .,you can buy a few by yourself .,you can come from a few thousand yen .,you can come from a few thousand yen .
¿ por cuánto tiempo es válida esta visa ?,how long is this visa valid ?,how long is it this american ?,how long is it this american ?,how long is this nonsense ?,how long is this nonsense ?
no entiendo cómo puedes comer eso .,i don t see how you can eat that stuff .,i don t understand how to eat that .,i don t understand how to eat that .,i can t understand how to eat that .,i can t understand how to eat that .
un humo negro salió de la chimenea .,black smoke came out of the chimney .,a wet black went off the chimney .,a stewardess black is the chimney .,smoke came out of the black .,smoke was a great flood .
de acuerdo al anciano que conocí ayer las cucarachas pueden comerse y no saben nada mal .,according to the old man i met yesterday cockroaches can be eaten and don t taste all that bad .,every you to the the i i i ve met the other and i can t know anything bad .,every you to the the i i i i i can see how and i can t know anything bad .,as far as far as i knew nothing could have happened .,as far as it could not be seen as i met yesterday and i met her .
gracias por vuestra ayuda .,thank you for your help .,thank you for your help .,thank you for your help .,thank you for your help .,thank you for your help .
¿ cuándo empieza ?,when does it start ?,when will he begin ?,when will he begin ?,when will it begin ?,when will it begin ?
el daño está hecho .,the damage is done .,the damage is custom .,the harm is custom .,the purpose is done .,the purpose is done .
se conocieron en una cita a ciegas .,they met on a blind date .,they left in a a to a walk .,he left in a to a a .,he has a date seat .,he has a date seat .
¿ eres real ?,are you for real ?,are you a ?,are you a ?,are you famous ?,are you famous ?
¿ conoces a los padres de tomás ?,do you know tom s parents ?,do you know tom s parents ?,do you know tom s parents ?,do you know tom s parents ?,do you know tom s parents ?
tom no sabe si vendrá mary .,tom doesn t know if mary will come .,tom doesn t know if mary will come .,tom doesn t know if mary will break .,tom doesn t know whether mary will come .,tom doesn t know whether mary will come .
había algunos niños en el cuarto .,there were a few children in the room .,there were some children in the room room .,there were some children in the room room .,there were some children in the room .,there were some children in the room .
tom es mayor que mary .,tom is older than mary .,tom is older than mary .,tom is older than mary .,tom is older than mary .,tom is mary .
algunas personas comen el sushi con las manos .,some people eat sushi with their hands .,some people people the the with your hands .,some people people the the with your hands .,some people tend to associate with your hands .,some people tend to associate with the hands .
el tren ya había salido cuando llegué a la estación .,the train had already left when i arrived at the station .,the train had already when i arrived at the station .,the train had already when i arrived at the station .,the train had already left .,i broke the train had already left .
han venido demasiado pronto .,you ve come too early .,they ve arrived too early early .,they come too much early .,you have come too soon .,you have come too soon .
no tengo esposa .,i have no wife .,i don t have a hurry .,i don t have a .,i have no wife .,i don t have wife .
ayer tom volvió a casa pronto .,tom came home early yesterday .,yesterday he returned home early .,tom returned he returned home early .,tom came back home early yesterday .,tom came home early yesterday .
no llegué a casa hasta las dos y media .,i didn t get home until .,i don t go home until .,i don t go until till .,i didn t come at home until .,i didn t come to the house and wait until .
tom tiene piernas delgadas .,tom has skinny legs .,tom has nice sick .,tom has nice been .,tom has legs .,tom has legs .
prometí que no se lo contaría a él .,i promised not to tell him .,i promised that wouldn t tell him .,i promised that wouldn t tell him .,he won t do what he did .,he won t do what he did .
llevamos tres años casados .,we have been married for three years .,we have three years old .,we have been married three years old .,we got married three years old .,we got married three years old .
en verdad quiero hablar contigo .,i very much want to speak with you .,i m really want to talk to you .,i m really want to talk to you .,i want to talk to you in a truth .,i want to talk to you in a truth .
el niño poco a poco hizo algunos nuevos amigos .,the small boy slowly made some new friends .,the little little little little money to be friends .,the little little little little money to friends friends .,the little boy did .,the little boy made a little three little friends .
ellos siguieron peleando contra los invasores año tras año .,they continued fighting against the invaders year after year .,they kept to the the the last year after year .,they kept to the the the last year after year .,they look against the year .,they grind the year old ice cream .
apágalo .,turn it off .,you d like it .,it d like it .,come back .,it s his back .
ella es simpática conmigo .,she s nice to me .,she is a strict with me .,she is a with me .,she s hers with me .,she s hers with me .
ése es mi lápiz .,that s my pencil .,this is my pencil .,this is my pencil .,this is my pencil .,this is my pencil .
una gran ola volcó su canoa .,a big wave turned over his canoe .,a big people showed his his brother .,a big people showed his his brother .,his lifetime a great flood on his worthy .,his worthy is worthy in a great loss his worthy .
por favor lea las instrucciones .,please read the instructions .,please read the instructions .,please read the instructions .,please read the instructions .,please read the instructions .
tom conoce las consecuencias .,tom knows the stakes .,tom knows the glasses .,tom knows the glasses .,tom knows the laws .,tom knows the laws .
te advierto que no lo hagas otra vez .,i m warning you not to do it again .,i d like you wouldn t do it again .,i d like you do not do again .,don t do what you think .,don t do what you think .
miro televisión con mi hija .,i watch television with my daughter .,i watch up with my daughter .,i watch up with my daughter .,my daughter is dressed with a daughter .,my daughter is dressed with a daughter .
su nuevo marido resultó ser una mala persona .,her new husband turned out to be a bad person .,his new new product to be a bad person .,his new new product to be a bad person .,a new person who turned out to be a bad person .,his new person was a bad person .
somos buenos amigos desde hace mucho .,we have been good friends for a long time .,we re good friends for a long .,we re good friends for a long .,we re a lot of friends .,we re a lot of friends .
¿ de verdad es tan difícil de creer ?,is it really so hard to believe ?,is really really so difficult to me ?,is really really hard to believe ?,it s really hard to believe that ?,it s really hard to believe that ?
lo sabemos .,we know that .,we know it .,we know it .,we know it .,we know it .
