model,true_label,pred_label,count
BiGRU,3,4,26
BiGRU,4,3,23
BiGRU,20,19,14
BiGRU,4,16,11
BiGRU,4,13,10
BiGRU,3,16,9
BiGRU,8,19,9
BiGRU,16,4,8
BiGRU,19,20,8
BiGRU,3,1,7
BiGRU,3,19,7
BiGRU,4,19,7
BiGRU,20,4,7
BiGRU,3,20,6
BiGRU,19,3,6
BiGRU,4,11,5
BiGRU,11,3,5
BiGRU,19,4,5
BiGRU,40,19,5
BiGRU,1,13,4
BiGRU,11,1,4
BiGRU,13,16,4
BiGRU,16,13,4
BiGRU,24,1,4
BiGRU,28,1,4
BiGRU,41,16,4
BiGRU,0,1,3
BiGRU,1,11,3
BiGRU,1,19,3
BiGRU,1,22,3
CNNBiGRU,3,4,27
CNNBiGRU,19,20,16
CNNBiGRU,4,3,15
CNNBiGRU,20,19,12
CNNBiGRU,4,16,11
CNNBiGRU,3,19,7
CNNBiGRU,4,20,7
CNNBiGRU,13,16,7
CNNBiGRU,16,4,7
CNNBiGRU,19,4,7
CNNBiGRU,3,1,6
CNNBiGRU,3,16,6
CNNBiGRU,13,4,6
CNNBiGRU,16,13,6
CNNBiGRU,20,4,6
CNNBiGRU,40,19,6
CNNBiGRU,3,20,5
CNNBiGRU,8,20,5
CNNBiGRU,11,3,5
CNNBiGRU,13,1,5
CNNBiGRU,17,16,5
CNNBiGRU,41,16,5
CNNBiGRU,1,3,4
CNNBiGRU,1,4,4
CNNBiGRU,2,16,4
CNNBiGRU,4,1,4
CNNBiGRU,5,1,4
CNNBiGRU,11,1,4
CNNBiGRU,16,3,4
CNNBiGRU,19,3,4
NaiveBayes,3,4,66
NaiveBayes,19,20,18
NaiveBayes,11,36,14
NaiveBayes,3,20,11
NaiveBayes,20,19,11
NaiveBayes,3,16,8
NaiveBayes,3,19,8
NaiveBayes,4,3,8
NaiveBayes,16,13,8
NaiveBayes,17,16,7
NaiveBayes,1,11,6
NaiveBayes,3,1,6
NaiveBayes,3,21,6
NaiveBayes,4,19,6
NaiveBayes,16,4,6
NaiveBayes,20,4,6
NaiveBayes,4,16,5
NaiveBayes,19,3,5
NaiveBayes,19,4,5
NaiveBayes,24,1,5
NaiveBayes,40,19,5
NaiveBayes,2,1,4
NaiveBayes,4,13,4
NaiveBayes,4,17,4
NaiveBayes,4,20,4
NaiveBayes,5,1,4
NaiveBayes,8,4,4
NaiveBayes,11,21,4
NaiveBayes,14,1,4
NaiveBayes,15,1,4
TextCNN,4,3,28
TextCNN,3,4,21
TextCNN,19,11,13
TextCNN,20,19,12
TextCNN,16,4,11
TextCNN,19,20,10
TextCNN,3,1,8
TextCNN,4,16,8
TextCNN,1,11,7
TextCNN,4,11,7
TextCNN,19,3,7
TextCNN,36,11,7
TextCNN,13,11,6
TextCNN,19,4,6
TextCNN,3,11,5
TextCNN,16,3,5
TextCNN,16,11,5
TextCNN,20,3,5
TextCNN,20,4,5
TextCNN,21,11,5
TextCNN,24,1,5
TextCNN,3,19,4
TextCNN,3,25,4
TextCNN,11,3,4
TextCNN,13,3,4
TextCNN,23,4,4
TextCNN,28,11,4
TextCNN,41,16,4
TextCNN,1,3,3
TextCNN,3,8,3
Transformer,4,3,36
Transformer,3,4,20
Transformer,20,19,16
Transformer,19,20,13
Transformer,4,16,8
Transformer,16,4,8
Transformer,40,19,8
Transformer,3,1,7
Transformer,11,36,7
Transformer,3,19,6
Transformer,3,20,6
Transformer,8,20,6
Transformer,19,3,6
Transformer,4,1,5
Transformer,4,19,5
Transformer,4,20,5
Transformer,11,1,5
Transformer,13,16,5
Transformer,19,4,5
Transformer,20,4,5
Transformer,3,16,4
Transformer,4,25,4
Transformer,5,1,4
Transformer,8,19,4
Transformer,11,3,4
Transformer,16,3,4
Transformer,20,3,4
Transformer,22,1,4
Transformer,24,1,4
Transformer,24,2,4
