model,true_label,pred_label,count
BiGRU,3,4,33
BiGRU,16,4,23
BiGRU,19,20,18
BiGRU,4,3,11
BiGRU,19,4,9
BiGRU,1,4,8
BiGRU,3,1,8
BiGRU,20,3,8
BiGRU,40,19,8
BiGRU,20,19,7
BiGRU,3,19,6
BiGRU,4,16,6
BiGRU,13,16,6
BiGRU,20,4,6
BiGRU,3,20,5
BiGRU,11,1,5
BiGRU,11,3,5
BiGRU,19,3,5
BiGRU,41,16,5
BiGRU,1,3,4
BiGRU,4,1,4
BiGRU,8,3,4
BiGRU,10,1,4
BiGRU,13,4,4
BiGRU,13,11,4
BiGRU,17,4,4
BiGRU,3,8,3
BiGRU,3,11,3
BiGRU,3,16,3
BiGRU,4,11,3
NaiveBayes,3,4,66
NaiveBayes,19,20,18
NaiveBayes,11,36,14
NaiveBayes,3,20,11
NaiveBayes,20,19,11
NaiveBayes,3,16,8
NaiveBayes,3,19,8
NaiveBayes,4,3,8
NaiveBayes,16,13,8
NaiveBayes,17,16,7
NaiveBayes,1,11,6
NaiveBayes,3,1,6
NaiveBayes,3,21,6
NaiveBayes,4,19,6
NaiveBayes,16,4,6
NaiveBayes,20,4,6
NaiveBayes,4,16,5
NaiveBayes,19,3,5
NaiveBayes,19,4,5
NaiveBayes,24,1,5
NaiveBayes,40,19,5
NaiveBayes,2,1,4
NaiveBayes,4,13,4
NaiveBayes,4,17,4
NaiveBayes,4,20,4
NaiveBayes,5,1,4
NaiveBayes,8,4,4
NaiveBayes,11,21,4
NaiveBayes,14,1,4
NaiveBayes,15,1,4
TextCNN,4,3,35
TextCNN,20,19,17
TextCNN,3,4,15
TextCNN,16,4,11
TextCNN,19,20,10
TextCNN,3,1,7
TextCNN,19,3,7
TextCNN,20,3,7
TextCNN,1,3,6
TextCNN,1,11,6
TextCNN,3,19,6
TextCNN,4,16,6
TextCNN,11,3,6
TextCNN,3,16,5
TextCNN,4,11,5
TextCNN,16,3,5
TextCNN,16,11,5
TextCNN,19,4,5
TextCNN,19,11,5
TextCNN,23,4,5
TextCNN,41,16,5
TextCNN,3,11,4
TextCNN,3,25,4
TextCNN,4,17,4
TextCNN,5,1,4
TextCNN,13,3,4
TextCNN,20,4,4
TextCNN,24,1,4
TextCNN,28,1,4
TextCNN,39,4,4
Transformer,4,3,41
Transformer,3,4,20
Transformer,20,19,16
Transformer,19,20,14
Transformer,13,16,11
Transformer,4,16,9
Transformer,19,40,9
Transformer,20,4,8
Transformer,3,19,7
Transformer,16,4,7
Transformer,3,1,6
Transformer,3,16,6
Transformer,16,3,6
Transformer,20,3,6
Transformer,1,4,5
Transformer,4,17,5
Transformer,4,19,5
Transformer,8,19,5
Transformer,11,3,5
Transformer,19,4,5
Transformer,41,16,5
Transformer,8,4,4
Transformer,11,1,4
Transformer,11,19,4
Transformer,19,3,4
Transformer,20,8,4
Transformer,36,11,4
Transformer,1,3,3
Transformer,1,5,3
Transformer,3,8,3
