source_spanish,reference_english,seq2seq_beam_pred,seq2seq_greedy_pred,transformer_beam_pred,transformer_greedy_pred
me pareció muy divertida .,i thought it was a lot of fun .,i was terribly very amusing .,i was terribly very amusing .,i found a very amusing .,i found a very amusing .
tom abrió la puerta y entró .,tom opened the door and walked in .,tom opened the door and door .,tom opened the door and went into .,tom opened the door and opened the door .,tom opened the door and opened the door .
el placer es un pecado y a veces el pecado es un placer .,pleasure s a sin and sometimes sin s a pleasure .,the a is a and to break a a marriage .,the artist whose a and to break a a is a a .,the sometimes it s a pleasure and adopted .,the sometimes it s a pleasure and adopted .
¿ qué ha pasado con la luz ?,what s happened to the light ?,what s with with the light ?,what s with with the light ?,what has happened with the light last night ?,what has happened to the tower ?
yo jamás haría una pregunta tan infantil .,i d never ask such a childish question .,i d never a a question as you .,i would never a a as as a .,i d never such a joke .,i never such a joke .
esta ley solo afecta a los extranjeros .,this law only affects foreigners .,this law only only the foreigners .,this law only only the foreigners .,this television set .,this television set .
el trabajo hay que terminarlo sobre la marcha .,the work must be completed at once .,there is a urgent need on that time .,there is a better for us the the .,there s lots of work on the job .,there is to finish the work on the job .
le felicito por su triunfo .,i congratulate you on your success .,i let him about his way .,i ll see you on his .,they caused by his request .,they re going to blame me for your request .
tom quiere ser admirado .,tom wants to be admired .,tom wants to be be .,tom wants to be be .,tom wants to be all your own .,tom wants to be all your own .
no creo que pase esta noche .,i don t think it s going to happen tonight .,i don t believe it ll accept tonight .,i don t believe it ll accept tonight .,i don t think this matter .,i don t think this matter .
no sé holandés . es difícil .,i don t understand dutch . it s difficult .,i don t know that it is difficult .,i don t know that it is difficult .,i don t know it s difficult .,i don t know it s difficult .
no dejé la puerta abierta .,i didn t leave the door open .,i won t the door open .,i won t the door open .,i left the door open .,i left the door open .
no hablabas en serio ¿ o sí ?,you weren t serious were you ?,you don t trust as are you ?,not t trust tom is yes ?,you re not serious or not ?,you re not serious or not ?
tom es malicioso .,tom is mischievous .,tom is a .,tom is a .,tom is remarkable .,tom is very beautiful .
si no conoces las respuestas adivina .,if you don t know the answers guess .,if you don t know that a hopeless view .,if you don t know that out a hopeless .,you don t know if you broke the door .,you don t know if you broke the door .
creo que finalmente me voy a jubilar .,i think i am finally going to retire .,i think i finally going to faint .,i think i finally going to faint .,i think i m going to be kidding .,i think i m going to be kidding .
solo necesito cien dólares .,i only need one hundred dollars .,i just need to one hundred dollars .,i just need to one hundred dollars .,i just need only hundred dollars .,i just need only hundred dollars .
la vacuna del tétano me dolió más que el mordisco del perro .,the tetanus shot hurt more than the dog bite .,the vaccination of the ice age the dog bit of the dog .,the vaccination of the ice age the dog is caught after the dog .,the dog gave me that the one the dog more than the dog .,the dog recommended that the only the dog gave me that the one .
¿ no lamentas haberte hecho ese tatu ?,don t you regret getting that tattoo ?,didn t you like to that that concert ?,didn t you like that that that would you that ?,don t you think that woman ?,that s all you don t you think that along ?
lo estás haciendo bien .,you re doing fine .,you re doing fine .,you re doing fine .,you re doing fine .,you re doing fine .
estoy estudiando .,i m studying .,i m studying .,i m studying .,i m studying .,i m studying .
yo la reconocí en el momento en que la vi .,i recognized her as soon as i saw her .,i noticed her the moment i saw .,i noticed her the moment i saw .,i recognized her the moment i recognized her .,i recognized her the moment i recognized her .
no puedo creer que tom aceptara nuestra oferta .,i can t believe tom accepted our offer .,i can t believe tom is our way .,i can t believe tom is our way .,i can t believe tom would our offer .,i can t believe tom would our offer .
esta es para mi amiga .,this is for my friend .,this is my friend .,this is my friend .,this is for my friend .,this is for me .
¿ me pueden dar algo de agua ?,can i have some water ?,can you give me some water ?,can you give some water ?,can you give me some water ?,can i have something to drink water ?
¿ dónde aprendiste a conducir tan bien ?,where did you learn to drive so well ?,where did you learn how to drive well ?,where did you learn how to drive well ?,where did you learn to drive so slow ?,where did you learn to drive so slow ?
¿ va a ir ?,will you go ?,will he go ?,will he go ?,is it going to go to go ?,is it going to go to go ?
tom se sentó junto a maría en el piano .,tom sat next to mary at the piano .,tom sat down next to mary on the piano .,tom sat next to mary on the piano .,tom sat down on the piano .,tom sat down on the piano .
¿ confiáis en mí ?,do you trust me ?,were you coming to me ?,were you coming to me ?,are you in me ?,are you in me ?
podría nevar .,it may snow .,it may be up .,it may be .,it may snow .,it may snow .
yo iré ahí .,i ll go there .,i ll go there .,i ll go there .,i ll go there .,i ll go there .
te daré un buen consejo .,i ll give you a good piece of advice .,i ll give you a piece of advice .,i ll give you a piece of advice .,i ll give you a good advice .,i ll give you a good advice .
estuve con una familia estadounidense .,i stayed with an american family .,i was with a terrible family .,i was with a terrible family .,i was an orphan with a member of family .,i was an orphan with a member of family .
ella fue a la escuela a pesar de que le dolía el pie .,she went to school in spite of the pain in her leg .,she went to school though she left foot .,she went to school though she left foot .,she went to the school on her foot .,she was at school on her absence .
nunca he conocido a nadie que no le guste el chocolate .,i ve never met anyone who doesn t like chocolate .,i ve never met someone like it s like it .,i ve never met someone like the like it .,i ve never met the chocolate .,i had never told the chocolate .
afloje usted un poco la venda .,loosen the bandage a little .,it a little a little .,play a little a little .,you re a little girl .,you are a little the problem .
según la leyenda esta casa está embrujada .,legend has it that this house is haunted .,according to the the this house is my house .,according to the the this house is easily .,according to this is the house .,according to this is the house .
me pasé todo el día leyendo una novela .,i spent the whole day reading a novel .,i spent the entire day for a novel .,i spent the day day a novel .,i spent the whole day long .,i spent the whole day long .
nadie vio eso .,no one saw that .,nobody saw that .,nobody saw that .,no one saw it .,no one saw it .
no estoy en contra de la ilegalización de las armas .,i m not against outlawing guns .,i m not against the suburbs of weapons .,i m not against the suburbs of weapons .,i m not against the reason .,i m not against the reason .
el co tiene mucho que ver con el llamado efecto invernadero .,co has a lot to do with the so called greenhouse effect .,the language has a lot to watch with the same purse .,the boy talks a lot to watch with the same purse .,the mailman has a lot of seeing the deal .,the mailman has a lot of watching tv .
¿ cuántos huevos pone esta gallina por semana ?,how many eggs does this hen lay each week ?,how many eggs do this this week ?,how many eggs do this this week ?,how many christmas cards do you praised this week ?,how many christmas cards do you praised this week ?
él bebe café antes del trabajo .,he drinks coffee before work .,he drinks coffee before the work .,he drinks coffee before the work .,he drinks coffee before .,he drinks coffee before .
tiene la edad suficiente como para manejar un auto .,he is old enough to drive a car .,he s old enough to drive a car .,he s old enough to drive a car .,a car is how old enough to drive a car .,a car is how old enough to drive a car .
él se baña todas las mañanas .,he takes a bath every morning .,he has a bath every morning .,he has a bath every morning .,he takes a bath every morning .,he takes a bath every morning .
han pasado diez días desde que mi novio quedó en prisión .,it s been days since my boyfriend went to jail .,it s been ten years since i have stayed on my trip .,it s been ten day since i have to get on my ten .,it s been ten since i hung up in prison .,my father has been to pick up in prison for ten days .
ningún libro se lee tanto como la biblia .,no other book is read as widely as the bible .,no book read as much as the bible .,no book read as much as the bible .,the book looks as long as the cost .,the book looks as long as the cost .
tom exigió saber por qué no se le había avisado acerca de los cambios .,tom demanded to know why he hadn t been told about the changes .,tom demanded to know why he didn t care about his way .,tom demanded to know why he didn t care about his way .,tom had not known about the reason .,tom had not knowing what s about the reason he had heard about .
no es tan fácil como crees .,it s not as easy as you think .,it s not as easy as you think .,it s not as easy as you think .,you don t think it s as easy as you think .,you don t think it s as easy as you think .
quiero verte .,i want to see you .,i want to see you .,i want to see you .,i want to see you .,i want to see you .
todavía falta lijar el marco .,the frame still has to be sanded .,it still got the the way .,it still got the the way .,the odds are still .,the odds still is still .
nací en .,i was born in .,i was born in .,i was born in .,i was born in born .,i was born in .
¿ de qué es abreviatura esto ?,what is this the abbreviation for ?,what s this mean ?,what s this mean ?,what are you doing this ?,what s your favorite real ?
tom no sabía que mary pudiera hablar francés .,tom didn t know that mary could speak french .,tom didn t know mary would speak to speak french .,tom didn t know mary would speak to speak french .,tom didn t know mary could speak french .,tom didn t know mary could speak french .
el calor era insoportable .,the heat was unbearable .,the heat was hot .,the heat was hot .,the heat was hot .,the heat was hot .
nadie vio aquello .,no one saw that .,nobody saw that away .,nobody saw that away .,no one saw anyone .,no one saw anyone .
el hombre con el que hablaba es mi profesor de inglés .,the man i was talking to is my english teacher .,the man with the that he is in english english english .,men man with one who he is in english english .,the man who my english is with my teacher .,the man who my teacher is with the letter .
¿ te gustó tu primera clase ?,did you like your first class ?,did you enjoy your first class ?,did you enjoy your first class ?,did you like your first class ?,did you like your first class ?
lo que ha hecho ese hombre es una atrocidad .,what that man s done is an outrage .,what he that that man is a blue .,what he that that man is a blue .,that man has done .,that man has done .
no podemos permitirlo .,we can t let this happen .,we can t play .,we can t play .,we can t budge .,we can t budge .
tom quiere hacerse rico rápido .,tom wants to get rich quick .,tom wants to become rich fast .,tom wants to become rich .,tom wants to be rich fast .,tom wants to be rich fast .
ellas siempre son cuidadosas .,they re always careful .,they re always play .,they re always play .,they re always beautiful .,they re always beautiful .
