source_spanish,reference_english,seq2seq_beam_pred,seq2seq_greedy_pred,transformer_beam_pred,transformer_greedy_pred
no es nada personal .,it s nothing personal .,it s not that .,it s not . .,i don t want .,it s not not .
decir eso trae mala suerte .,it s bad luck to say that .,it s your . .,i s your . .,it s a lot .,i ll have a lot .
hiciste lo correcto .,you did the right thing .,it s that .,i s to .,i ll know it .,i m a lot .
la producción de vegetales va en crecimiento en nuestra área .,the production of vegetables is growing in our area .,the has a in in the in . .,the has a in in in the .,i was in the car .,the car is in the door .
él me dio lo que yo necesitaba .,he gave me what i needed .,he doesn t know to . .,he was to you i .,he has .,he was very very very .
tom pensó que mary no estaba durmiendo lo suficiente .,tom thought that mary wasn t getting enough sleep .,tom said that he doesn t want to do that .,tom said mary t know t want to .,tom didn t know mary .,tom didn t want to be mary .
¿ podría echarle un ojo a mi maleta por un momento ?,could you keep an eye on my suitcase for a moment ?,do you have a a a . .,what you a a a a a .,do you have a good ?,what a good ?
creo que es una búsqueda inútil .,i think it s a wild goose chase .,i s is a a . .,i s a a a . .,it s a lot .,i m a lot of a lot .
déjalo descansar tom .,let it rest tom .,i tom tom .,i tom tom .,tom has .,tom was .
él se vio obligado a hacerlo en contra de su voluntad .,he was made to do it against his will .,he had to the in the in the . .,he had to to the in the . .,he was a lot .,he was his new his new in his new .
el doctor no estaba seguro de cuál era el problema .,the doctor was not sure what the trouble was .,the don t want to the the the . .,the t t want to the the . .,i don t want to the car .,i don t want to the car .
anda a ayudar a lavar los platos .,go and help wash the dishes .,i want to to the . .,i m to to to .,i m going to go .,i ll have a lot of the door .
