source_spanish,reference_english,model_decode,prediction,token_overlap,length_ratio,error_tag
no es nada personal .,it s nothing personal .,seq2seq_beam,it s not that .,0.6,1.0,semantic_or_grammar_error
no es nada personal .,it s nothing personal .,seq2seq_greedy,it s not . .,0.6,1.0,semantic_or_grammar_error
no es nada personal .,it s nothing personal .,transformer_beam,i don t want .,0.2,1.0,semantic_or_grammar_error
no es nada personal .,it s nothing personal .,transformer_greedy,it s not not .,0.6,1.0,semantic_or_grammar_error
decir eso trae mala suerte .,it s bad luck to say that .,seq2seq_beam,it s your . .,0.375,0.625,semantic_or_grammar_error
decir eso trae mala suerte .,it s bad luck to say that .,seq2seq_greedy,i s your . .,0.25,0.625,semantic_or_grammar_error
decir eso trae mala suerte .,it s bad luck to say that .,transformer_beam,it s a lot .,0.375,0.625,semantic_or_grammar_error
decir eso trae mala suerte .,it s bad luck to say that .,transformer_greedy,i ll have a lot .,0.125,0.75,low_keyword_overlap
hiciste lo correcto .,you did the right thing .,seq2seq_beam,it s that .,0.16666666666666666,0.6666666666666666,low_keyword_overlap
hiciste lo correcto .,you did the right thing .,seq2seq_greedy,i s to .,0.16666666666666666,0.6666666666666666,low_keyword_overlap
hiciste lo correcto .,you did the right thing .,transformer_beam,i ll know it .,0.16666666666666666,0.8333333333333334,low_keyword_overlap
hiciste lo correcto .,you did the right thing .,transformer_greedy,i m a lot .,0.16666666666666666,0.8333333333333334,low_keyword_overlap
la producción de vegetales va en crecimiento en nuestra área .,the production of vegetables is growing in our area .,seq2seq_beam,the has a in in the in . .,0.3,0.9,semantic_or_grammar_error
la producción de vegetales va en crecimiento en nuestra área .,the production of vegetables is growing in our area .,seq2seq_greedy,the has a in in in the .,0.3,0.8,semantic_or_grammar_error
la producción de vegetales va en crecimiento en nuestra área .,the production of vegetables is growing in our area .,transformer_beam,i was in the car .,0.3,0.6,semantic_or_grammar_error
la producción de vegetales va en crecimiento en nuestra área .,the production of vegetables is growing in our area .,transformer_greedy,the car is in the door .,0.4,0.7,semantic_or_grammar_error
él me dio lo que yo necesitaba .,he gave me what i needed .,seq2seq_beam,he doesn t know to . .,0.2857142857142857,1.0,semantic_or_grammar_error
él me dio lo que yo necesitaba .,he gave me what i needed .,seq2seq_greedy,he was to you i .,0.42857142857142855,0.8571428571428571,semantic_or_grammar_error
él me dio lo que yo necesitaba .,he gave me what i needed .,transformer_beam,he has .,0.2857142857142857,0.42857142857142855,under_translation
él me dio lo que yo necesitaba .,he gave me what i needed .,transformer_greedy,he was very very very .,0.2857142857142857,0.8571428571428571,semantic_or_grammar_error
tom pensó que mary no estaba durmiendo lo suficiente .,tom thought that mary wasn t getting enough sleep .,seq2seq_beam,tom said that he doesn t want to do that .,0.4,1.1,semantic_or_grammar_error
tom pensó que mary no estaba durmiendo lo suficiente .,tom thought that mary wasn t getting enough sleep .,seq2seq_greedy,tom said mary t know t want to .,0.4,0.9,semantic_or_grammar_error
