best_model,text,true_label,pred_label,pred_prob_pos,correct,confidence,error_type
NaiveBayes,there are those who gripe that this is not the opera but then they don't quibble with the film of cabaret that was not the original show either all films of musicals operas are and have to be adaptations or they don't work cabaret took more liberties with the original show than did the film of porgy and bess and yet it kept its original integrity reworking the material and is judged an artistic success the same holds true for porgy and bess it reworked the opera into a dialogue song libretto because audiences at the time loved musicals but stayed away from the few echt filmed operas it would have been economical suicide for preminger to produce a film of the opera it would have lost a fortune for the goldwyn studios that said this is a fine adaptation the acting is excellent the oscar winning scoring of andre previn is magnificent as is the choral singing and the individual vocal achievements are incredible robert mcferrin dad of popular musician bobby mcferrin dubbed porgy and adele addison dubbed bess while sammy davis jr sang his own songs in the film his recording contract would not permit his voice to be heard on the soundtrack album so cab calloway recorded his numbers spectacularly for that release brock peters' bass baritone is extraordinary and pearl bailey is her own unique self diahann carroll although a singer of fine note has the small role of clara which required a high soprano so old reliable marni nixon dubbed her singing the gershwin estate hates the film and refuses to grant the musical rights although the dramatic rights are in the public domain this sort of hate feud held up the video release of carousel for almost fifteen years although in that case it was the dramatic rights that were in litigation and is currently preventing both porgy and bess and annie get your gun from being released on video of all the stage productions given film versions it is these latter two which are the sole holdouts to video only a campaign of letters to the gershwin estate in ny might loosen up the reserve,0,1,0.9533416892676351,0,0.9066833785352701,false_positive
NaiveBayes,in the mountains of japan forlorn young artist sessue hayakawa as tatsu aka the dragon painter paints magnificent landscapes he prays divinity will restore his fianc e whom he believes was changed into a dragon years ago meanwhile in tokyo an forlorn older painter edward peil as kano indara laments not having a son to carry on his family line of artists when mr peil sees mr hayakawa's paintings he sees a painter worthy to become his son and disciple hayakawa also falls in love with peil's daughter tsuru aoki ume ko believing she's the reincarnation of his long lost princess but with his love fulfilled hayakawa loses his ability to paint an introduction notes 'the dragon painter' was originally released in by the haworth pictures a hollywood based production company formed the previous year by sessue hayakawa a japanese born actor who enjoyed great popularity in the silent period the film was ninth of twenty two features produced by haworth each of which was tailored to hayakawa's talents and to his stock company of japanese actors fortunately a print of this film was found in france and restored the description the dragon painter is a fantasy allegory of love and creative inspiration that is lost when longing is fulfilled is accurate with its production hayakawa intended to provide a different view of japanese culture to american audiences avoiding the stereotyping violence and melodramatic conflict expected in 'oriental' films of the period hayakawa was successful in that part of his goal although this film probably did not and will not appeal to most viewers and is not the best example of its intent the dragon painter william worthington sessue hayakawa edward peil tsuru aoki,0,1,0.9532449629417789,0,0.9064899258835577,false_positive
NaiveBayes,okay so ghoulies is kind of bad and it doesn't really even have the ghoulies in it and the acting is bad the storyline is stupid but i forget to mention how funny this film is it is so campy and so ridiculous it is too fun not to enjoy there are only ghoulies in the movie and they don't really seem to be in relation with the ghoulies in the other film but they are pretty funny and funny thing that jonathon graves returns for this one if you saw the first he was a character in that in my opinion this is better than the first there are some classic scenes and some classic lines one which is in a grocery store attention k mart shoppers watch this if you enjoy bad movies it's so bad it is good and did i mention barbara alyn woods is hot,1,0,0.04767500204682484,0,0.9046499959063503,false_negative
NaiveBayes,julie delpy stars in this horrific film about a sadistic relationship between a father and a daughter in france of the th century the film attempts to shatter the romantic chivalry image of the heroic medieval knight by showing a rather dreary image of the period defined by psychological dysfunction and violence the movie opens with a child fran ois growing up in the shadow of the hundred years' war told by his father to keep his mother safe and to wait for his return fran ois takes action when he discovers his mother with a lover in bed fran ois murders him in the name of defending his father's honour like father like son fran ois grows up and leaves his family also to go to the same war this setting is somewhat of an explanation for the events to come as on his way home we already notice that something is wrong with fran ois the war has not done well with him he has changed the daughter b atrice de cortemart delpy awaits her beloved father to return from captivity of the english she is pure of heart and she was left to take care of the estate while her father was gone in her father's absence b atrice needs to deal with financial difficulties which strengthens b atrice's hope that her father will return to save her but upon his return she notices that he lost the will to enjoy life and he tortures and humiliates everything around him even his own daughter from this points the film depicts various ways how fran ois torments his family starting with humiliating his own son and ending with the rape of his own daughter b atrice setting the film in the middle ages supposed to soften the blow as the viewer may tell himself that these kind of violent acts were held in difficult times and indeed many films on the topic of incest such as tim roth's the war zone which are contemporary were more shocking because of that delpy appears in this film in several daring nude scenes indeed she appears to be angelic and beautiful i was annoyed when i saw some animal torture scenes i believe and this is not confirmed that some birds were killed for the making of this film which really upsets me the quality of a film drops when real violence is used towards animals i would hope that this movie will be re released without those cruelty scenes those scenes do not contribute much to the film storyline overall the movie is too long the script is problematic we don't get to see fran ois and b atrice before the war we don't really get the answer why is he changed to such extreme i would have pass on this film however i have to mention a few scenes that made this film worth watching scenes of a young child being able to murder in cold blood is truly shocking i saw it first time on city of god here fran ois murders his mother's lover while his father away at war excellent scene and very graphic the scenes from b atrice being raped by her father till she finds out she is pregnant from him are truly shocking and interesting the scene after the rape where delpy burns her cloths and cleans herself she asks her brother to kick her in the stomach with hopes to have a miscarriage the brother humiliation scenes where the father dumps his son's head into the food humiliating him then ranting about the war later dressing his son with women's cloths the film won the c sar french oscar for best costume design i agree the costumes here really make the film look authentic for the time period the movie location is ch teau de puivert a real th century castle and a historical monument located in aude south central france beautiful castle and mountain view really helps you set into the period of this film the film also nominated for more c sar awards but they were all snatched to the widely successful french film au revoir les enfants goodbye children released as beatrice in new york city march only to be screened in france on november watched it on yes on may at work,0,1,0.939673885332612,0,0.879347770665224,false_positive
NaiveBayes,of course seeing a few boom mikes doesn't mean anything does it lord rudy ray moore and d'urville martin really put this one together didn't they i laughed a lot as often happens in these types of movies but i don't know what i was supposed to laugh at because i laughed at so many other things i am not saying the movie was bad but i will say that a little more editing would have done wonders i am a huge fan of blaxploitation so i don't think that it was horrid but i know that the human tornado was several times better than this i think that those who can make it through this movie might need a colt or two afterward i mean it really helps you to not notice the boom mikes when you watch it again,1,0,0.06069724631273638,0,0.8786055073745273,false_negative
NaiveBayes,this is definitely one of the best kung fu movies in the history of cinema the screenplay is really well done which is not often the case for this type of movies and you can see that chuck in one of his first role is a great actor the final fight with the sherif deputy in the bullring is a masterpiece,0,1,0.9328404091488087,0,0.8656808182976174,false_positive
NaiveBayes,the incomparable paul naschy horror film icon of spain lends his talents to this entertaining if not scattershot film what begins as an action flick ends up a horror story all i can say is just sit back and enjoy the ride paul naschy plays a cold hearted hit man hired by some shady japanese diamond hunters one of which is his flame who is carrying his child to swipe a cache of diamonds from a belgian businessman when the deed is done the allure of the diamonds is too tempting for paul to dismiss so he kills his japanese cohorts his girlfriend whose brother paul killed vows revenge and chases paul through the forest shooting him up and leaving him for dead however paul is found by an egghead with two horny daughters and brought to his estate to recuperate at the estate the two daughters silvia aguilar and azucena hernandez fight for paul in his weakened state with the busty silvia aguilar determined not to lose out to the sweet and prim azucena but things get hairy for mr naschy who begins to see the ghost of the daughter's long dead mother on the estate grounds couple this with the japanese lass looking to finish the job of killing paul and he gets pulled from two sides story the story goes a number of ways and doesn't fully satisfy the script builds up a fight for paul between the daughters but silvia whose character seems assertive and volatile simply lets azucena win in the paul naschy sweepstakes without putting up a fight personally i would have preferred the ghostly apparition story to the revenge seeking of the japanese woman violence you get gunplay a blown up babe and pigs eating some poor schmuck alive gore hounds will not be letdown with this naschy flick acting paul naschy as always is fun to watch but he does spend a bit too much time in bed recovering from his wounds starring with him again are the luscious silvia aguilar and the beautiful azucena hernandez who teamed with mr naschy in the little gem the craving both girls do a fine job nudity you get very brief glimpses of both aguilar and hernandez but they are strategically placed keeping the naught bits covered full nudity is supplied by the two lesser appealing actresses the japanese woman chasing paul and the african maid that works for silvia and azucena,0,1,0.9317711414811979,0,0.8635422829623958,false_positive
NaiveBayes,when the movie first started i thought cheesy the first ten minutes were really boring after the slow beginning and some of the soap opera antics i started liking it the plot was different than anything i had ever seen now was it a horror not really it shouldn't have been classied as a horror or the producers should have put more money into the movie to make it scary as it was the creatures where only there for a short time i can only assume this was for money reason the good side was that the movie was very entertaining it held my interest after the start and did make me wonder about creatures from another dimension it was obvious that this was a first time movie for the director but there were a couple of highlights by the end i was hooked too bad hollywood didn't put more money behind this,1,0,0.06870369937010598,0,0.862592601259788,false_negative
NaiveBayes,i find it sad that just because edward norton did not want to be in the film or have anything to do with it people automatically think the movie sucks without even watching it or giving it a chance i really hope norton did not do this he is a fine actor and all but he scared people away from a decent movie i found it entertaining it wasn't mind blowing or anything with crazy special effects but it was not a bad it was fun to watch but yea definitely not a bad horrible movie,1,0,0.07059249376010052,0,0.858815012479799,false_negative
NaiveBayes,jack frost is probably the most cheesiest movie i have ever seen in my life the complete title of the film is jack frost revenge of the mutant killer snowman horror movie fans that have a taste for campy story lines will be delighted to watch this this film was straight to video and for good reasons here's why the acting was so atrocious and so terrible that it could cause one to cry the main character had no personality and the actor's bad acting made it all worse the screenplay was was also atrocious each character always says a cheesy line and add the cheesy lines to the bad choreography then you have something bad second the story line isn't really all that impressive but since this movie was straight to video it is forgiven the director and writer could have turned the idea of a killer snowman into something cool but they didn't they story has lots of plot holes in it in the beginning a cup of coffee gets knocked into the fish tank with the melted jack frost scientists try to restore his life but they couldn't once the cup of coffee fell into the tank jack frost was completely restored now he is immune to anti freeze in jack frost part the main character's dna got mixed up with the anti freeze that was used to kill jack frost since the main character is allergic to bananas jack frost is too hence here's my point they say that sam's dna combined with jack frost's but one of the scientists had some saliva on the cup so when it fell into the tank the scientists dna would have been combined with jack frosts another thing the special effects weren't very good either here's the good points jack frost has lots of blood that looks pretty realistic even though this movie is flawed to hell it is still entertaining overall jack frost is an enjoyable horror movie the first one was better though out of,1,0,0.07086008678553883,0,0.8582798264289223,false_negative
NaiveBayes,my buddies and i spent the majority of a saturday afternoon watching a selection of bad movies among the flicks we watched the strongest contender for quality bad movie fare was easily jack o it's ludicrous that movies such as gigli glitter and you got served are listed in imdbs bottom while they're certainly bad movies they don't belong in the bottom they're robbing jack o and keeper of time etc of the bad movie greatness they so richly deserve so what makes jack o so great in bad movie terms for starters steve latshaw the director decided to cast his son ryan latshaw in the role of sean kelly unfortunately for steve ryan latshaw was dangerously close to being out acted by a block of wood the kid seriously has no ability to emote whatsoever the end result unintentional comic gold the kid could be listening to a joke or just moments away from getting his head smashed asunder and his expression is one of stony emotionlessness the other aspect of the movie that we found awesome was the sheer number of double dreaming sequences what is a double dream well it's when a character wakes up from a nightmare and then something equally nightmarish happens and then the character wakes up again basically they wake up after dreaming about waking up from a nightmare clever device no i believe the character of sean kelly experienced no less than double dreaming sequences let's see what else oh yeah this movie has a veritable cast of thousands it's truly stunning to see how many speaking roles are introduced throughout the course of the movie best of all almost none of the characters have anything to do with the story they're either killed by jack o or they serve no purpose whatsoever jack o himself was pretty sweet like most other b movie monsters jack o has the amazing ability to seemingly teleport over great distances he's invariably hanging out somewhere in the background whenever you're dealing with a major character what's puzzling however is that when he's actually chasing someone he moves at a shambling stumbling speed and yet he's able to keep up with people who are sprinting that's all for now closing remarks if you're looking for a unintentionally hilarious bad movie you can't go wrong by renting this beast bad movie score good movie score,1,0,0.07425833234503616,0,0.8514833353099277,false_negative
