model,true_label,pred_label,count
BiGRU,18,4,20
BiGRU,3,4,18
BiGRU,15,4,15
BiGRU,1,4,12
BiGRU,10,1,12
BiGRU,12,4,9
BiGRU,18,1,8
BiGRU,18,3,8
BiGRU,4,3,7
BiGRU,7,3,6
BiGRU,15,3,6
BiGRU,19,4,6
NaiveBayes,3,4,23
NaiveBayes,16,15,5
NaiveBayes,1,4,3
NaiveBayes,4,3,3
NaiveBayes,10,34,3
NaiveBayes,15,4,3
NaiveBayes,15,12,3
NaiveBayes,18,19,3
NaiveBayes,21,1,3
NaiveBayes,1,10,2
NaiveBayes,1,18,2
NaiveBayes,3,19,2
TextCNN,3,4,17
TextCNN,1,10,8
TextCNN,4,3,6
TextCNN,12,4,6
TextCNN,18,10,6
TextCNN,19,18,6
TextCNN,24,4,6
TextCNN,8,4,5
TextCNN,9,1,5
TextCNN,15,4,5
TextCNN,1,4,4
TextCNN,4,15,4
Transformer,18,3,17
Transformer,4,3,14
Transformer,3,4,10
Transformer,7,3,10
Transformer,19,3,10
Transformer,15,4,9
Transformer,1,4,5
Transformer,8,1,5
Transformer,10,1,5
Transformer,10,4,5
Transformer,10,7,5
Transformer,12,3,5
