model,true_label,pred_label,count
BiGRU,3,4,46
BiGRU,4,3,26
BiGRU,16,4,19
BiGRU,19,20,12
BiGRU,16,13,9
BiGRU,20,19,9
BiGRU,1,3,7
BiGRU,3,1,6
BiGRU,4,1,6
BiGRU,4,16,6
BiGRU,4,19,6
BiGRU,11,4,6
BiGRU,17,4,6
BiGRU,19,4,6
BiGRU,3,20,5
BiGRU,13,16,5
BiGRU,14,1,5
BiGRU,19,8,5
BiGRU,19,11,5
BiGRU,20,3,5
BiGRU,1,11,4
BiGRU,3,11,4
BiGRU,3,16,4
BiGRU,13,4,4
BiGRU,16,3,4
BiGRU,19,3,4
BiGRU,20,4,4
BiGRU,23,4,4
BiGRU,24,1,4
BiGRU,40,19,4
NaiveBayes,3,4,87
NaiveBayes,11,36,15
NaiveBayes,19,20,15
NaiveBayes,3,20,11
NaiveBayes,20,19,11
NaiveBayes,24,1,10
NaiveBayes,4,3,9
NaiveBayes,16,13,9
NaiveBayes,1,11,8
NaiveBayes,4,16,8
NaiveBayes,16,4,8
NaiveBayes,19,11,8
NaiveBayes,3,16,7
NaiveBayes,40,19,7
NaiveBayes,4,11,6
NaiveBayes,14,1,6
NaiveBayes,17,16,6
NaiveBayes,1,4,5
NaiveBayes,3,1,5
NaiveBayes,18,21,5
NaiveBayes,19,4,5
NaiveBayes,3,19,4
NaiveBayes,4,19,4
NaiveBayes,11,19,4
NaiveBayes,16,11,4
NaiveBayes,19,8,4
NaiveBayes,20,4,4
NaiveBayes,1,13,3
NaiveBayes,2,11,3
NaiveBayes,3,11,3
TextCNN,3,4,35
TextCNN,4,3,30
TextCNN,19,20,14
TextCNN,16,4,13
TextCNN,4,16,10
TextCNN,20,19,9
TextCNN,3,1,8
TextCNN,4,1,7
TextCNN,16,13,7
TextCNN,19,11,7
TextCNN,20,3,7
TextCNN,14,1,6
TextCNN,16,3,6
TextCNN,24,1,6
TextCNN,40,19,6
TextCNN,11,19,5
TextCNN,19,3,5
TextCNN,36,11,5
TextCNN,1,11,4
TextCNN,3,11,4
TextCNN,4,19,4
TextCNN,11,4,4
TextCNN,13,3,4
TextCNN,19,4,4
TextCNN,28,1,4
TextCNN,1,3,3
TextCNN,1,4,3
TextCNN,4,11,3
TextCNN,5,1,3
TextCNN,8,3,3
Transformer,3,4,45
Transformer,4,3,20
Transformer,16,4,19
Transformer,20,19,11
Transformer,19,20,9
Transformer,19,11,8
Transformer,4,19,7
Transformer,13,4,7
Transformer,40,19,7
Transformer,3,1,6
Transformer,16,11,6
Transformer,16,13,6
Transformer,23,4,6
Transformer,24,1,6
Transformer,2,24,5
Transformer,3,8,5
Transformer,4,1,5
Transformer,4,11,5
Transformer,19,4,5
Transformer,1,4,4
Transformer,3,11,4
Transformer,11,4,4
Transformer,12,19,4
Transformer,18,21,4
Transformer,20,3,4
Transformer,20,4,4
Transformer,27,4,4
Transformer,36,11,4
Transformer,3,16,3
Transformer,3,20,3
