source_spanish,reference_english,model_decode,prediction,token_overlap,length_ratio,error_tag
me pareció muy divertida .,i thought it was a lot of fun .,seq2seq_beam,i was terribly very amusing .,0.3333333333333333,0.6666666666666666,semantic_or_grammar_error
me pareció muy divertida .,i thought it was a lot of fun .,seq2seq_greedy,i was terribly very amusing .,0.3333333333333333,0.6666666666666666,semantic_or_grammar_error
me pareció muy divertida .,i thought it was a lot of fun .,transformer_beam,i found a very amusing .,0.3333333333333333,0.6666666666666666,semantic_or_grammar_error
me pareció muy divertida .,i thought it was a lot of fun .,transformer_greedy,i found a very amusing .,0.3333333333333333,0.6666666666666666,semantic_or_grammar_error
tom abrió la puerta y entró .,tom opened the door and walked in .,seq2seq_beam,tom opened the door and door .,0.75,0.875,semantic_or_grammar_error
tom abrió la puerta y entró .,tom opened the door and walked in .,seq2seq_greedy,tom opened the door and went into .,0.75,1.0,semantic_or_grammar_error
tom abrió la puerta y entró .,tom opened the door and walked in .,transformer_beam,tom opened the door and opened the door .,0.75,1.125,semantic_or_grammar_error
tom abrió la puerta y entró .,tom opened the door and walked in .,transformer_greedy,tom opened the door and opened the door .,0.75,1.125,semantic_or_grammar_error
el placer es un pecado y a veces el pecado es un placer .,pleasure s a sin and sometimes sin s a pleasure .,seq2seq_beam,the a is a and to break a a marriage .,0.42857142857142855,1.0,semantic_or_grammar_error
el placer es un pecado y a veces el pecado es un placer .,pleasure s a sin and sometimes sin s a pleasure .,seq2seq_greedy,the artist whose a and to break a a is a a .,0.42857142857142855,1.1818181818181819,semantic_or_grammar_error
el placer es un pecado y a veces el pecado es un placer .,pleasure s a sin and sometimes sin s a pleasure .,transformer_beam,the sometimes it s a pleasure and adopted .,0.8571428571428571,0.8181818181818182,semantic_or_grammar_error
el placer es un pecado y a veces el pecado es un placer .,pleasure s a sin and sometimes sin s a pleasure .,transformer_greedy,the sometimes it s a pleasure and adopted .,0.8571428571428571,0.8181818181818182,semantic_or_grammar_error
¿ qué ha pasado con la luz ?,what s happened to the light ?,seq2seq_beam,what s with with the light ?,0.7142857142857143,1.0,semantic_or_grammar_error
¿ qué ha pasado con la luz ?,what s happened to the light ?,seq2seq_greedy,what s with with the light ?,0.7142857142857143,1.0,semantic_or_grammar_error
¿ qué ha pasado con la luz ?,what s happened to the light ?,transformer_beam,what has happened with the light last night ?,0.7142857142857143,1.2857142857142858,semantic_or_grammar_error
¿ qué ha pasado con la luz ?,what s happened to the light ?,transformer_greedy,what has happened to the tower ?,0.7142857142857143,1.0,semantic_or_grammar_error
yo jamás haría una pregunta tan infantil .,i d never ask such a childish question .,seq2seq_beam,i d never a a question as you .,0.6666666666666666,1.0,semantic_or_grammar_error
yo jamás haría una pregunta tan infantil .,i d never ask such a childish question .,seq2seq_greedy,i would never a a as as a .,0.4444444444444444,1.0,semantic_or_grammar_error
yo jamás haría una pregunta tan infantil .,i d never ask such a childish question .,transformer_beam,i d never such a joke .,0.6666666666666666,0.7777777777777778,semantic_or_grammar_error
yo jamás haría una pregunta tan infantil .,i d never ask such a childish question .,transformer_greedy,i never such a joke .,0.5555555555555556,0.6666666666666666,semantic_or_grammar_error
esta ley solo afecta a los extranjeros .,this law only affects foreigners .,seq2seq_beam,this law only only the foreigners .,0.8333333333333334,1.1666666666666667,semantic_or_grammar_error
esta ley solo afecta a los extranjeros .,this law only affects foreigners .,seq2seq_greedy,this law only only the foreigners .,0.8333333333333334,1.1666666666666667,semantic_or_grammar_error
esta ley solo afecta a los extranjeros .,this law only affects foreigners .,transformer_beam,this television set .,0.3333333333333333,0.6666666666666666,semantic_or_grammar_error
esta ley solo afecta a los extranjeros .,this law only affects foreigners .,transformer_greedy,this television set .,0.3333333333333333,0.6666666666666666,semantic_or_grammar_error
