source_spanish,reference_english,model_decode,prediction,token_overlap,length_ratio,error_tag
él no es un paciente sino médico en este hospital .,he is not a patient but a doctor in this hospital .,seq2seq_beam,he is not a luxury but a in this this .,0.7272727272727273,0.9166666666666666,semantic_or_grammar_error
él no es un paciente sino médico en este hospital .,he is not a patient but a doctor in this hospital .,seq2seq_greedy,he isn t a good but in this this .,0.5454545454545454,0.8333333333333334,semantic_or_grammar_error
él no es un paciente sino médico en este hospital .,he is not a patient but a doctor in this hospital .,transformer_beam,he is not a doctor but in this medicine .,0.8181818181818182,0.8333333333333334,semantic_or_grammar_error
él no es un paciente sino médico en este hospital .,he is not a patient but a doctor in this hospital .,transformer_greedy,he is not a doctor but in this medicine .,0.8181818181818182,0.8333333333333334,semantic_or_grammar_error
no creo que sea peligroso .,i don t think it s dangerous .,seq2seq_beam,i don t think it s dangerous .,1.0,1.0,semantic_or_grammar_error
no creo que sea peligroso .,i don t think it s dangerous .,seq2seq_greedy,i don t think it s dangerous .,1.0,1.0,semantic_or_grammar_error
no creo que sea peligroso .,i don t think it s dangerous .,transformer_beam,i don t think it s dangerous .,1.0,1.0,semantic_or_grammar_error
no creo que sea peligroso .,i don t think it s dangerous .,transformer_greedy,i don t think it s dangerous .,1.0,1.0,semantic_or_grammar_error
¿ cuál es tu equipo de fútbol favorito ?,what s your favorite soccer team ?,seq2seq_beam,what s your favorite football team ?,0.8571428571428571,1.0,semantic_or_grammar_error
¿ cuál es tu equipo de fútbol favorito ?,what s your favorite soccer team ?,seq2seq_greedy,what s your favorite football team ?,0.8571428571428571,1.0,semantic_or_grammar_error
¿ cuál es tu equipo de fútbol favorito ?,what s your favorite soccer team ?,transformer_beam,what s your favorite team ?,0.8571428571428571,0.8571428571428571,semantic_or_grammar_error
¿ cuál es tu equipo de fútbol favorito ?,what s your favorite soccer team ?,transformer_greedy,what s your favorite team ?,0.8571428571428571,0.8571428571428571,semantic_or_grammar_error
si estás a mi lado no necesito nada más .,if you are by my side i don t need anything else .,seq2seq_beam,if you re my my i don t need anything .,0.6923076923076923,0.8461538461538461,semantic_or_grammar_error
si estás a mi lado no necesito nada más .,if you are by my side i don t need anything else .,seq2seq_greedy,if you re my my i don t need anything .,0.6923076923076923,0.8461538461538461,semantic_or_grammar_error
si estás a mi lado no necesito nada más .,if you are by my side i don t need anything else .,transformer_beam,i don t need anything else if you re in my side .,0.8461538461538461,1.0,semantic_or_grammar_error
si estás a mi lado no necesito nada más .,if you are by my side i don t need anything else .,transformer_greedy,i don t need anything else if you re in my side .,0.8461538461538461,1.0,semantic_or_grammar_error
una bomba de tiempo estalló en el aeropuerto matando a trece personas .,a time bomb went off in the airport killing thirteen people .,seq2seq_beam,a bomb of time the time the airport to to see people .,0.5833333333333334,1.0833333333333333,semantic_or_grammar_error
una bomba de tiempo estalló en el aeropuerto matando a trece personas .,a time bomb went off in the airport killing thirteen people .,seq2seq_greedy,a of the time it in the airport to to to be thirteen .,0.5833333333333334,1.1666666666666667,semantic_or_grammar_error
