source_spanish,reference_english,model_decode,prediction,token_overlap,length_ratio,error_tag
eso es sentido común .,that s common sense .,seq2seq_beam,that s absolutely unacceptable .,0.6,1.0,semantic_or_grammar_error
eso es sentido común .,that s common sense .,seq2seq_greedy,that s all his .,0.6,1.0,semantic_or_grammar_error
eso es sentido común .,that s common sense .,transformer_beam,that s nonsense .,0.6,0.8,semantic_or_grammar_error
eso es sentido común .,that s common sense .,transformer_greedy,that s nonsense .,0.6,0.8,semantic_or_grammar_error
puedes hablar .,you may speak .,seq2seq_beam,you can speak .,0.75,1.0,semantic_or_grammar_error
puedes hablar .,you may speak .,seq2seq_greedy,you can speak .,0.75,1.0,semantic_or_grammar_error
puedes hablar .,you may speak .,transformer_beam,you can speak .,0.75,1.0,semantic_or_grammar_error
puedes hablar .,you may speak .,transformer_greedy,you can speak .,0.75,1.0,semantic_or_grammar_error
tom no dejó de fumar así que mary salió de la pieza .,tom didn t stop smoking so mary left the room .,seq2seq_beam,tom doesn t give up so he left went out of the room .,0.6363636363636364,1.2727272727272727,semantic_or_grammar_error
tom no dejó de fumar así que mary salió de la pieza .,tom didn t stop smoking so mary left the room .,seq2seq_greedy,tom doesn t care of that he left went out the room .,0.5454545454545454,1.1818181818181819,semantic_or_grammar_error
tom no dejó de fumar así que mary salió de la pieza .,tom didn t stop smoking so mary left the room .,transformer_beam,tom left mary s room so he wouldn t get out of the room .,0.7272727272727273,1.3636363636363635,semantic_or_grammar_error
tom no dejó de fumar así que mary salió de la pieza .,tom didn t stop smoking so mary left the room .,transformer_greedy,tom didn t have left the room so he wouldn t leave .,0.7272727272727273,1.1818181818181819,semantic_or_grammar_error
recién acabo de terminar mi trabajo .,i have just finished my work .,seq2seq_beam,although just just finished my job .,0.5714285714285714,1.0,semantic_or_grammar_error
recién acabo de terminar mi trabajo .,i have just finished my work .,seq2seq_greedy,it just just finished my job job .,0.5714285714285714,1.1428571428571428,semantic_or_grammar_error
recién acabo de terminar mi trabajo .,i have just finished my work .,transformer_beam,i just got back from my job .,0.5714285714285714,1.1428571428571428,semantic_or_grammar_error
recién acabo de terminar mi trabajo .,i have just finished my work .,transformer_greedy,i just got back from my job .,0.5714285714285714,1.1428571428571428,semantic_or_grammar_error
planeo comprar un auto nuevo tan pronto pueda costearme uno .,i plan to buy a new car as soon as i can afford one .,seq2seq_beam,i plan to buy a new car as soon can improve .,0.8461538461538461,0.8,semantic_or_grammar_error
planeo comprar un auto nuevo tan pronto pueda costearme uno .,i plan to buy a new car as soon as i can afford one .,seq2seq_greedy,i plan to buy a new car as soon as you can .,0.8461538461538461,0.8666666666666667,semantic_or_grammar_error
planeo comprar un auto nuevo tan pronto pueda costearme uno .,i plan to buy a new car as soon as i can afford one .,transformer_beam,i plan to buy a new car .,0.6153846153846154,0.5333333333333333,under_translation
planeo comprar un auto nuevo tan pronto pueda costearme uno .,i plan to buy a new car as soon as i can afford one .,transformer_greedy,i plan to buy a new car as soon as i can .,0.8461538461538461,0.8666666666666667,semantic_or_grammar_error
querer cosas nos hace más felices que realmente tenerlas .,wanting things makes us happier than actually having them .,seq2seq_beam,i want things to more more than i d like to eat .,0.3,1.3,semantic_or_grammar_error
querer cosas nos hace más felices que realmente tenerlas .,wanting things makes us happier than actually having them .,seq2seq_greedy,i want to explain more more than i d like to eat .,0.2,1.3,semantic_or_grammar_error
querer cosas nos hace más felices que realmente tenerlas .,wanting things makes us happier than actually having them .,transformer_beam,it makes us more than we really happy .,0.4,0.9,semantic_or_grammar_error
querer cosas nos hace más felices que realmente tenerlas .,wanting things makes us happier than actually having them .,transformer_greedy,things makes they really happy that we really happy .,0.3,1.0,semantic_or_grammar_error
no sé qué haré .,i don t know what i ll do .,seq2seq_beam,i don t know what i will .,0.75,0.8888888888888888,semantic_or_grammar_error
no sé qué haré .,i don t know what i ll do .,seq2seq_greedy,i don t know what i will .,0.75,0.8888888888888888,semantic_or_grammar_error
no sé qué haré .,i don t know what i ll do .,transformer_beam,i don t know what i do .,0.875,0.8888888888888888,semantic_or_grammar_error
